PERIOD,ID,V_1,V_2,V_3,V_4,V_5,V_6,V_7,V_8,V_9,V_10,V_11,V_12,V_13,V_14,V_15,V_16,V_17,V_18,V_19,V_20,V_21,V_22,V_23,V_24,V_25,V_26,V_27,V_28,V_29,V_30,V_31,V_32,V_33,V_34,V_35,V_36,V_37,V_38,V_39,V_40,V_41,V_42,V_43
1,435,8,0,0,1,0,0,0,0,0,3,0,1.15,2.27,1.23,0,0,0,1.04,0,0,0,0,85.52,75.2,10.32,0,0,16,3,0,0,16,14,2,0,0,0,1.475,0,0,0,0,0
3,440,26,29,13,1,1,0,1,1,0,23,24,13.2,269.28,206.12,63.17,0,0,-0.01,55,0,0,463.761421,154.57,78.82,75.75,0,0,111,61,50,0,72,35,37,0,0,83,11.4075,0,0,83,0,0
1,525,30,17,2,1,1,0,1,1,0,30,8,145.68,619.5,591.65,13,0,0,14.85,3,0,0,5760.988575,236.82,223.95,12.87,0,0,292,265,19,0,231,214,17,0,0,67.5,1.9525,17,5742.628191,27.5,0,0
1,547,5,0,0,1,0,0,0,0,0,2,0,0,140.95,0.78,0,0,0,140.17,0,0,0,0,101.22,84.87,16.35,0,0,21,3,0,0,32,19,13,0,0,0,4.5775,0,0,0,0,0
2,612,30,0,0,1,1,0,0,0,0,30,13,28.27,702.02,684.42,17.23,0,0,0.37,0,0,0,0,243.85,218.68,25.17,0,0,272,247,23,0,160,126,34,0,0,35,3.8175,0,0,35,0,0
1,645,30,29,20,1,1,0,1,1,2,30,7,366.77,1179.6,1108.58,71.02,0,0,0,44,79,0,1973.807462,865.67,835.13,30.53,0,0,371,354,17,0,306,291,15,0,0,87.5,4.355,29,1624.115823,86.5,0,0
3,658,22,15,0,1,1,0,0,1,0,22,1,95.43,320.55,313.22,4.75,0,0,2.58,0,0,0,106.633861,195.57,180.07,0,15.5,0,50,47,2,0,36,35,0,1,0,59.16,64.52100012,13,23.981931,59.16,0,0
2,671,27,26,6,1,1,0,1,1,0,27,7,24.63,162.95,147.08,15.87,0,0,0,9,0,0,184.732312,164.62,156.02,8.6,0,0,126,111,15,0,189,185,4,0,0,78.63,5.95500306,21,23.816757,78.63,17,149.840909
3,701,30,0,2,1,1,0,1,0,0,29,5,62.4,201.75,186.12,12.87,0,0,2.76,2,0,0,0,388.65,334.88,53.77,0,0,205,168,8,0,293,261,32,0,0,85.7,8.1075,0,0,85.7,0,0
2,735,31,25,1,1,1,0,1,1,0,31,4,92.65,527.1,488.98,37.22,0,0,0.9,2,0,0,233.024248,668.15,641.93,26.22,0,0,201,189,5,0,213,203,10,0,0,206.5,0.205,20,148.864168,206.5,0,0
2,737,11,15,6,1,1,0,1,1,0,5,1,1.92,5.95,4.7,0.4,0,0,0.85,2,32,0,113.509619,43.6,11.8,31.8,0,0,21,6,1,0,39,8,31,0,0,95,4.91,0,0,95,0,0
3,774,19,25,0,1,0,0,0,1,0,19,0,84.3,554.33,553.45,0,0,0,0.88,0,0,0,12.566888,591.85,586.83,5.02,0,0,50,43,0,0,44,41,3,0,0,45,0.03,25,3.555321,45,16,8.996257
2,847,1,0,0,1,0,0,0,0,0,1,0,0,2.85,2.85,0,0,0,0,0,0,0,0,16.72,16.72,0,0,0,1,1,0,0,5,5,0,0,0,2.5,0,0,0,2.5,0,0
2,855,31,31,4,1,1,0,1,1,0,31,4,331.28,1146.38,1135.3,10.37,0,0,0.71,8,2,0,2348.645511,616.57,615.47,1.1,0,0,355,338,4,0,173,171,2,0,0,100.12,0.175,15,787.58335,100.12,0,0
1,926,30,0,0,1,1,0,0,0,0,30,1,184.67,535.42,534.65,0.77,0,0,0,0,0,0,0,317.3,314.7,2.6,0,0,204,203,1,0,109,106,3,0,0,30,0.395,0,0,30,0,0
2,944,19,0,0,1,0,0,0,0,0,6,0,0.48,7.15,5.7,0,0,0,1.45,0,0,0,0,58.35,58.35,0,0,0,29,6,0,0,8,8,0,0,0,20,0,0,0,20,0,0
3,946,23,31,7,1,1,0,1,1,0,22,16,60.62,559.82,488.28,69.73,0,1.8,0.01,16,1,4,1844.293777,696.27,524.35,163.95,6.4,1.57,235,194,37,0,291,213,73,1,4,1073.95,118.046788,26,1683.592618,1073.95,2,88.903614
2,955,14,9,0,1,0,0,0,1,0,12,0,35.5,99.25,99,0,0,0,0.25,0,0,0,121.572834,420.18,306.42,113.77,0,0,32,29,0,0,66,59,7,0,0,37.28,17.0775,0,0,37.28,0,0
1,979,29,29,0,1,1,0,0,1,0,29,1,46.63,235.2,233.98,0.68,0,0,0.54,0,0,0,43.578216,313.42,298.92,8.42,6.08,0,108,101,1,0,162,154,7,1,0,50,8.36571309,0,0,50,0,0
2,991,1,0,0,0,0,0,0,0,0,0,0,0,0.17,0,0,0,0,0.17,0,0,0,0,31.38,31.38,0,0,0,1,0,0,0,15,15,0,0,0,0,0,0,0,0,0,0
1,1042,25,13,19,1,1,0,1,1,0,22,24,4.38,174.6,89.82,76.27,0,0,8.51,28,23,0,49.298733,121.38,79.7,41.38,0,0,220,103,109,0,148,108,39,0,0,64.1,9.03233325,4,9.034624,64.1,0,0
1,1057,30,30,11,1,1,0,1,1,1,30,16,59.07,299.48,197.1,78.3,0,0,24.08,48,7,0,6038.1569,295.37,217.32,78.05,0,0,185,115,56,0,187,131,56,0,0,285.86,14.125,30,3195.591178,285.86,27,2776.233708
1,1082,28,30,0,1,1,0,0,1,0,28,13,28.33,263.75,117.63,142.97,0,0,3.15,0,0,0,4192.925542,130.48,129.37,1.12,0,0,171,130,29,0,195,193,2,0,0,79.87,0.1675,3,179.271986,79.87,0,0
1,1118,25,29,1,1,1,0,1,1,0,23,6,196.82,795.82,784.48,4.83,0,0,6.51,3,0,0,5443.868668,1466.55,1431.92,13.88,20.75,0,109,89,8,0,312,290,20,2,0,67.42,66.25609793,25,539.180243,67.42,25,4878.555804
2,1154,31,29,1,1,1,0,1,1,0,31,4,125.42,727.68,706.5,20.82,0,0,0.36,1,2,0,551.198774,681.15,637.63,43.52,0,0,198,188,5,0,150,134,16,0,0,78.5,6.545,16,9.333789,78.5,13,329.180074
3,1188,8,0,0,1,1,0,0,0,0,7,1,3.77,21.15,17.88,3.15,0,0,0.12,0,0,0,0,119.87,115.8,4.07,0,0,10,7,1,0,18,16,2,0,0,39.5,0.6125,0,0,39.5,0,0
1,1196,29,0,0,1,1,1,0,0,0,28,9,98.33,483.12,396.15,31.7,51.52,0,3.75,0,0,0,0,471.98,458.05,0.03,13.9,0,186,151,12,7,92,90,1,1,0,22.2,39.06551192,0,0,22.2,0,0
1,1200,2,0,0,1,0,0,0,0,0,2,0,0.52,0.58,0.57,0,0,0,0.01,0,0,0,0,87.7,86.5,0,1.2,0,3,2,0,0,9,8,0,1,0,3,3.719106545,0,0,3,0,0
3,1230,30,0,0,1,1,0,0,0,0,30,1,143.4,781.58,781.28,0.15,0,0,0.15,0,0,0,0,625,624.13,0.87,0,0,95,91,1,0,71,67,4,0,0,51.24,0.135,0,0,51.24,0,0
1,1247,30,9,22,1,1,0,1,1,0,30,9,125.55,745.22,737.23,6.25,0,0,1.74,96,0,0,524.007293,1102.85,1070.07,32.78,0,0,742,716,11,0,804,772,32,0,0,97,6.13589995,9,542.365015,97,0,0
2,1254,31,31,2,1,1,0,1,1,0,31,2,151.65,954.07,952.18,1.88,0,0,0.01,3,0,0,290.426371,1387.8,1264.2,103.58,20.02,0,212,210,2,0,205,187,17,1,0,82.7,93.8497333,31,243.583859,82.7,0,0
3,1273,29,0,0,1,0,0,0,0,0,29,0,14.88,87.8,87.55,0,0,0,0.25,0,0,0,0,221.72,221.48,0.23,0,0,120,118,0,0,95,94,1,0,0,45,0,0,0,45,0,0
1,1274,29,29,3,1,1,0,1,1,0,29,12,112.37,344.93,315.98,28.95,0,0,0,3,0,0,5048.901104,105.95,101.53,4.42,0,0,197,174,23,0,100,94,6,0,0,125,0.61,28,4858.621312,125,19,133.053173
2,1280,29,29,0,1,1,0,0,1,0,29,4,55.73,456.82,450.13,6.68,0,0,0.01,0,0,0,1640.397906,636.7,592.7,44,0,0,147,143,4,0,161,150,11,0,0,39,6.61,29,1480.482403,39,0,0
3,1293,10,0,0,1,1,0,0,0,0,3,1,0,1.85,0.72,0.78,0,0,0.35,0,0,0,0,1102.4,1091.38,11.02,0,0,12,3,1,0,161,152,9,0,0,1.18,3.7675,0,0,1.18,0,0
1,1305,28,0,1,1,1,0,1,0,0,27,15,113.23,439.8,408.95,30.83,0,0,0.02,1,0,0,0,500.68,445.33,54.25,0,0,188,155,32,0,135,118,16,0,0,68.4,8.1625,0,0,68.4,0,0
1,1321,29,0,0,1,1,0,0,0,0,29,1,123.43,487.82,485.05,0.23,0,0,2.54,0,0,0,0,321.62,320.15,0,0,0,177,171,1,0,164,163,0,0,0,55,0,0,0,55,0,0
1,1363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.08,0,9.08,0,0,0,0,0,0,2,0,2,0,0,0,1.365,0,0,0,0,0
3,1409,21,18,0,1,1,0,0,1,0,19,1,17.6,49.58,45.98,2.48,0,0,1.12,0,0,0,537.114989,125.67,123.25,2.42,0,0,51,42,1,0,37,33,4,0,0,40,0.0175,17,464.122949,40,0,0
1,1450,1,0,0,1,0,0,0,0,0,1,0,0,0.27,0.27,0,0,0,0,0,0,0,0,32.17,32.17,0,0,0,1,1,0,0,4,4,0,0,0,0,0,0,0,0,0,0
1,1471,30,30,1,1,1,0,1,1,0,30,13,164.1,1046.85,943.38,103.47,0,0,0,2,0,0,5552.539474,626.67,593.68,32.98,0,0,387,364,23,0,254,237,17,0,0,124.45,4.045,28,5360.05225,124.45,0,0
2,1475,26,0,0,1,1,0,0,0,0,20,13,6.67,93.4,73.45,16.03,0,0,3.92,0,0,0,0,112.98,44.07,68.92,0,0,66,43,22,0,60,21,39,0,0,35,10.3875,0,0,35,0,0
1,1499,4,0,0,1,0,0,0,0,0,3,0,34.12,70.93,70.8,0,0,0,0.13,0,0,0,0,262.57,262.57,0,0,0,9,6,0,0,75,75,0,0,0,4.99,0,0,0,4.99,0,0
3,1517,19,0,0,1,0,1,0,0,0,19,0,5.18,44.68,44.65,0,0.03,0,0,0,0,0,0,89.23,89.23,0,0,0,44,43,0,1,84,84,0,0,0,50,0,0,0,50,0,0
2,1547,28,0,0,1,1,0,0,0,0,27,10,210.3,1155.08,1070.05,85.03,0,0,0,0,0,0,0,517.6,402.45,115.15,0,0,126,98,28,0,59,24,35,0,0,19.18,17.3025,0,0,19.18,0,0
1,1571,30,30,4,1,1,0,1,1,0,30,23,37.98,539.68,285.9,253.78,0,0,0,7,8,0,2290.91639,263.78,224.93,31.85,7,0,230,143,87,0,246,202,43,1,0,187.22,6.917165264,29,2273.531357,187.22,0,0
2,1600,30,0,0,1,0,0,0,0,0,30,0,165.33,529.23,529.02,0,0,0,0.21,0,0,0,0,229.53,228.45,1.08,0,0,62,61,0,0,47,46,1,0,0,65,0.2,0,0,65,0,0
2,1610,30,0,0,1,1,0,0,0,0,30,7,214.15,759.53,754.67,4.87,0,0,-0.01,0,0,0,0,832.98,818.97,14.02,0,0,134,126,8,0,132,120,12,0,0,55,1.6325,0,0,55,0,0
1,1648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1686,18,29,0,1,0,0,0,1,0,16,0,20.32,183.02,182.72,0,0,0,0.3,0,0,0,301.855373,96.18,96.18,0,0,0,30,27,0,0,27,27,0,0,0,60,0,29,292.877097,60,0,0
1,1694,9,0,0,0,0,0,0,0,0,0,0,0,0.72,0,0,0,0,0.72,0,0,0,0,411.38,411.17,0.22,0,0,12,0,0,0,128,127,1,0,0,0,0.0875,0,0,0,0,0
1,1716,30,30,1,1,0,0,1,1,0,30,0,374.63,1246.93,1246.18,0,0,0,0.75,1,0,0,329.219696,849.15,847.55,1.6,0,0,471,467,0,0,343,341,2,0,0,60,0,20,184.444491,60,0,0
2,1739,29,0,0,1,1,0,0,0,0,29,1,101.93,340.22,335.08,3.22,0,0,1.92,0,0,0,0,370.82,352.18,18.63,0,0,67,61,1,0,64,56,8,0,0,36,3.105,0,0,36,0,0
3,1753,23,0,0,1,0,0,0,0,0,23,0,12.07,123.25,123.05,0,0,0,0.2,0,0,0,0,211.37,145.22,30.33,35.82,0,62,60,0,0,65,53,8,4,0,60.85,45.79424053,0,0,60.85,0,0
3,1760,30,27,4,1,1,0,1,1,0,29,22,59,378.4,310.78,67.62,0,0,0,78,0,0,3662.053317,700.4,599.42,100.98,0,0,173,116,57,0,256,179,77,0,0,74,15.1575,27,3566.908324,74,0,0
3,1793,3,0,0,0,0,0,0,0,0,0,0,0,0.38,0,0,0,0,0.38,0,0,0,0,378.83,375.9,2.93,0,0,4,0,0,0,175,173,2,0,0,0,0.045,0,0,0,0,0
2,1831,3,2,2,1,0,0,1,1,0,3,0,0,5.47,5.47,0,0,0,0,13,12,0,131.191972,133.08,133.08,0,0,0,7,7,0,0,42,42,0,0,0,16.5,0,1,0.206783,16.5,0,0
1,1882,30,0,0,1,1,0,0,0,0,30,5,361.53,1259.9,1237.35,9.25,0,0,13.3,0,0,0,0,1241.98,1219.13,16.8,6.05,0,303,291,8,0,279,271,7,1,0,53.4,28.4278823,0,0,53.4,0,0
3,1937,31,0,1,1,0,0,1,0,0,31,0,193.78,914.05,913.8,0,0,0,0.25,0,3,0,0,577.43,570.92,6.52,0,0,298,292,0,0,266,259,7,0,0,76.04,0.9825,0,0,76.04,0,0
2,1970,10,14,0,1,1,0,0,1,0,10,1,15.25,37.87,35.33,2.53,0,0,0.01,0,0,0,182.271437,58.67,58.67,0,0,0,12,10,2,0,16,16,0,0,0,34.26,0,0,0,34.26,0,0
1,1982,28,14,0,1,1,0,0,1,0,28,1,81.37,298.57,282.03,0.43,0,0,16.11,0,0,0,218.47738,230.47,230.07,0.4,0,0,184,103,1,0,133,131,2,0,0,37,0.06,13,206.327777,37,0,0
3,1991,17,6,1,1,1,0,1,1,0,16,2,32.78,110.4,106.63,2.9,0,0,0.87,1,0,0,111.997889,59.23,59.23,0,0,0,48,45,2,0,50,50,0,0,0,2.6,0.13,5,102.919271,2.6,0,0
3,2012,31,0,0,1,0,0,0,0,0,31,0,192.87,909.47,908.28,0,0,0,1.19,0,0,0,0,699.43,630.85,6.9,61.68,0,289,282,0,0,256,231,4,21,0,59,24.11279059,0,0,59,0,0
3,2024,20,0,0,1,1,0,0,0,0,18,12,10.6,79.97,62.93,16.97,0,0,0.07,0,0,0,0,310.55,267.08,43.47,0,0,50,29,20,0,83,49,34,0,0,68.07,6.56,0,0,68.07,0,0
1,2069,29,0,0,1,1,0,0,0,0,28,4,152.45,331.52,315.3,16,0,0,0.22,0,0,0,0,111.37,108.85,2.52,0,0,93,85,4,0,54,53,1,0,0,35,0.38,0,0,35,0,0
3,2095,24,31,0,1,1,1,0,1,0,19,8,64.2,375.4,317.35,39.23,18.75,0,0.07,0,0,0,32.433216,363.32,345.52,17.8,0,0,93,76,10,6,65,59,6,0,0,124.23,2.68,25,9.199107,124.23,0,0
2,2241,1,0,0,1,0,0,0,0,0,1,0,0,0.52,0.52,0,0,0,0,0,0,0,0,12.15,11.73,0,0,0,1,1,0,0,4,3,0,0,0,2.5,0,0,0,2.5,0,0
1,2250,29,0,0,1,1,0,0,0,0,29,12,256.1,1072.42,1054.23,18.18,0,0,0.01,0,0,0,0,995.65,983.43,12.22,0,0,402,382,20,0,315,311,4,0,0,60,1.8375,0,0,60,0,0
3,2272,22,0,0,1,1,0,0,0,1,20,3,29.4,79.82,76.85,2.97,0,0,0,0,0,0,0,130.87,127.6,3.27,0,0,78,75,3,0,93,90,3,0,0,65.2,0.495,0,0,65.2,0,0
2,2290,1,8,0,0,0,0,0,1,0,0,0,0,5.77,0,0,0,0,5.77,0,0,0,760.354378,1.03,0.52,0,0,0,3,0,0,0,2,1,0,0,0,0,0,5,639.318058,0,0,0
1,2336,25,0,1,1,0,0,1,0,0,25,0,96.9,179.62,179.12,0,0,0,0.5,2,0,0,0,144.27,139.97,4.3,0,0,70,62,0,0,53,49,4,0,0,35.3,0.665,0,0,35.3,0,0
2,2349,14,0,0,1,0,0,0,0,0,14,0,1.45,367.22,367.13,0,0,0,0.09,0,0,0,0,198.35,198.35,0,0,0,32,31,0,0,21,21,0,0,0,35,0,0,0,35,0,0
3,2404,13,0,1,1,0,0,1,0,0,13,0,3.13,22.78,22.78,0,0,0,0,3,0,0,0,197.05,197.05,0,0,0,25,25,0,0,77,77,0,0,0,25.32,0,0,0,25.32,0,0
2,2405,30,2,0,1,1,0,0,1,0,30,4,297.6,849.93,835.2,8.6,0,0,6.13,0,0,0,0.000628,411.38,408.68,2.2,0,0,182,166,6,0,129,125,3,0,0,55,0.33,0,0,55,0,0
1,2432,30,30,1,1,1,0,1,1,5,30,15,99.08,641.82,593.73,48.08,0,0,0.01,1,0,0,1358.444381,544.48,516.02,28.47,0,0,599,561,38,0,557,527,30,0,0,356,4.32,30,1188.645688,356,0,0
2,2440,23,0,0,1,1,0,0,0,0,21,5,42.22,106.18,97.65,8.5,0,0,0.03,0,0,0,0,71.07,61.8,8.42,0,0,53,43,8,0,39,29,9,0,0,120,1.28,0,0,120,0,0
3,2494,31,0,0,1,0,0,0,0,0,31,0,223.4,1284.55,1284.08,0,0,0,0.47,0,0,0,0,1315.25,1315.25,0,0,0,232,222,0,0,229,229,0,0,0,45,0,0,0,45,0,0
2,2495,31,0,0,1,1,0,0,0,0,31,1,116.75,469.95,465.93,3.48,0,0,0.54,0,0,0,0,455.37,450.2,5.17,0,0,167,159,1,0,64,61,3,0,0,51,29.34137937,0,0,51,0,0
1,2511,11,0,0,1,0,0,0,0,0,8,0,1,6.92,6.57,0,0,0,0.35,0,0,0,0,168.43,151.23,17.2,0,0,19,14,0,0,34,30,4,0,0,0,0.255,0,0,0,0,0
3,2526,25,17,0,1,0,0,0,1,0,24,0,411.3,806.8,804.92,0,0,0,1.88,0,0,0,484.477615,93.12,93.12,0,0,0,117,98,0,0,20,20,0,0,0,40,0.0625,15,406.753854,40,0,0
3,2545,29,28,0,1,1,0,0,1,0,27,6,60.57,219.7,210.75,7.32,0,0,1.63,0,0,0,497.921757,492.58,490.3,2.28,0,0,97,75,7,0,114,110,4,0,0,113.5,0.3625,27,453.177269,113.5,0,0
3,2571,18,1,1,1,0,0,1,1,0,18,0,26.53,55.62,55.57,0,0,0,0.05,1,0,0,1.297226,163.2,163.2,0,0,0,48,47,0,0,94,94,0,0,0,0,0,0,0,0,0,0
1,2606,23,25,0,1,1,0,0,1,0,23,6,104.27,286.03,239.28,46.75,0,0,0,0,0,0,2484.42112,455.85,397.87,57.98,0,0,75,66,9,0,103,95,8,0,0,41.5,8.7075,25,2457.750339,41.5,0,0
3,2636,31,22,0,1,1,0,0,1,0,31,3,191.32,832.78,831.87,0.92,0,0,-0.01,0,0,0,635.973032,389.98,389.47,0.52,0,0,519,516,3,0,218,217,1,0,0,50,0.0775,21,613.368098,50,0,0
2,2653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.47,0.47,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
3,2700,30,0,0,1,0,0,0,0,0,30,0,252.72,1842.18,1841.23,0,0,0,0.95,0,0,0,0,997.57,997.07,0.5,0,0,261,255,0,0,190,188,2,0,0,52.97,0,0,0,52.97,0,0
3,2705,15,30,7,1,1,0,1,1,0,14,2,0.98,22,13.03,8.75,0,0,0.22,2,44,0,1007.450113,121.18,115.82,5.37,0,0,28,24,2,0,60,59,1,0,0,89,0.805,11,238.50721,89,0,0
1,2732,28,25,6,1,1,0,1,1,0,27,16,235.45,661.22,628.8,31.22,0,0,1.2,13,8,0,28234.87953,466.4,380.42,85.98,0,0,165,128,34,0,239,176,63,0,0,157,12.9575,24,28212.45056,157,0,0
1,2872,29,28,0,1,1,0,0,1,0,28,6,109.07,430.93,417.4,9.78,0,0,3.75,0,0,0,1337.696575,236.8,219.05,17.75,0,0,155,130,7,0,64,52,12,0,0,50,2.6875,28,804.918509,50,0,0
2,2917,27,0,0,1,0,0,0,0,0,27,0,113.53,301.6,301.6,0,0,0,0,0,0,0,0,308.63,308.63,0,0,0,87,87,0,0,97,97,0,0,0,50,0,0,0,50,0,0
1,2921,29,3,0,1,1,0,0,1,0,28,13,47.67,221.43,204.8,11,0,0,5.63,0,0,0,35.335386,453.2,448.35,4.85,0,0,222,153,14,0,259,254,5,0,0,116.86,0.7625,1,12.22174,61.86,0,0
1,2936,6,0,0,1,0,0,0,0,0,6,0,0.4,3.33,3.33,0,0,0,0,0,0,0,0,49.25,46.7,2.55,0,0,8,8,0,0,30,26,4,0,0,7,0.2725,0,0,7,0,0
2,2959,30,0,0,1,1,0,0,0,0,30,4,136.57,398.73,393.92,4.38,0,0,0.43,0,0,0,0,328.78,328.17,0.62,0,0,138,132,4,0,109,108,1,0,0,70,0.0925,0,0,70,0,0
1,2967,29,23,0,1,1,0,0,1,0,29,11,311.5,778.2,763.23,13.62,0,0,1.35,0,0,0,135.636257,376.52,363.98,12.53,0,0,292,276,14,0,171,161,10,0,0,107.26,1.6975,23,131.018092,107.26,0,0
3,2980,31,31,2,1,1,0,1,1,1,31,2,293.08,1572.02,1531.52,3.98,0,0,36.52,2,0,0,2833.349508,1952.15,1951.55,0,0.6,0,320,276,2,0,472,471,0,1,0,98.4,3.124170803,31,2034.681179,98.4,0,0
2,2988,28,31,4,1,1,0,1,1,0,28,2,83.97,823.72,821,2.5,0,0,0.22,4,0,4,5632.83857,856.53,847.55,8.98,0,0,155,151,2,0,134,130,4,0,0,148.3,0,30,4455.796529,148.3,0,0
3,3028,28,29,0,1,1,0,0,1,0,25,25,27.33,449.22,397.12,52.1,0,0,0,0,0,0,1806.404653,566.05,553.1,12.95,0,0,255,204,51,0,229,209,20,0,0,123,1.96,29,1801.31374,123,0,0
1,3063,30,10,0,1,1,0,0,1,0,30,2,176.92,672.82,637.85,32.03,0,0,2.94,0,0,0,1833.858344,789.47,781.35,8.12,0,0,205,176,2,0,246,243,3,0,0,63,1.225,8,1788.757256,63,0,0
2,3075,24,11,1,1,1,0,1,1,0,23,3,93.75,498.55,469.55,27.57,0,0,1.43,1,0,0,263.823518,838.58,834.08,4.5,0,0,299,272,10,0,356,346,10,0,0,35.48,0.51,1,160.005416,35.48,0,0
2,3145,31,3,3,1,1,0,1,1,0,31,15,36.28,306.72,243.85,59.78,0,0,3.09,0,7,0,106.516953,354.17,268.02,86.15,0,0,185,138,41,0,87,54,33,0,0,67.4,13.195,1,2.773233,59.4,0,0
2,3176,31,31,1,1,1,0,1,1,0,31,18,42.8,250.37,183.37,67,0,0,0,0,7,0,66127.39115,116.57,70.82,45.75,0,0,207,171,36,0,130,100,30,0,0,135,6.9025,31,65793.0944,135,0,0
2,3190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,281.17,179.15,102.02,0,0,0,0,0,0,34,28,6,0,0,0,15.3125,0,0,0,0,0
3,3231,8,0,0,1,0,0,0,0,0,1,0,0,3.62,0.12,0,0,0,3.5,0,0,0,0,75.42,74.13,1.28,0,0,31,2,0,0,46,44,2,0,0,0,0.1925,0,0,0,0,0
2,3281,25,0,0,1,1,0,0,0,0,24,2,62.88,447.5,438.07,7.58,0,0,1.85,0,0,0,0,534.48,521.87,7.92,4.7,0,169,161,2,0,173,164,6,3,0,66.5,18.58164143,0,0,66.5,0,0
2,3285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.37,9.62,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0
2,3303,31,12,0,1,0,0,0,1,0,31,0,24.83,226.63,224.63,0,0,0,2,0,0,0,289.239145,279.17,279.17,0,0,0,321,318,0,0,327,327,0,0,0,50,0,10,252.077972,50,0,0
